"job_run_id","begin","end","execution_key"
"jr_550d52a7258565b7fc1fffa6a271a97ec109cf3c67568e509c49369f25ee4cc2","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_679a13fc8e5053a3e2761d440d4ff7e7743e26a66460757c7bf152754ec5b640","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","auto_refinancing_events_raw.contract_contract_created_v1_v1"
"jr_305f24c1e3bfff12c1ea60f2eac03b300751b866ae57f98467bd2e6557639034","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_679a13fc8e5053a3e2761d440d4ff7e7743e26a66460757c7bf152754ec5b640","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_d38da21d78d9ffcdb715bf2aa38112c89f5ed98ae4a499b9bead2bab01369eac","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_31c4e6bf6103ac08fc63febc0d26134279a48e2354df439b6bd378431311c9e6","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_e3fd842ee2c9a05c3a471b41eafc198ee32e762886d0519b87718cdc6948b7c2","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_ee2638cd1d1a6b8fc111ece2d5d6d852cc214f20ddb9802cf21b2ff4d0b3e4c3","(2020, 12, 31, '2020-08-17T20:15:37.015393')","(2020, 12, 31, '2020-08-17T20:15:37.015393')","carteiritas_events_raw.customer_customer_assigned_v1_v1"
"jr_905fa4e384a11cac53f006bd8b8a7d2e77a7d93fb085ce7d5ac76d022b654b80","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_6c3936913769376cb1b7b3db5e966bf7e4b4e9adb06fa8a999ede41ce0f56773","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_22c8c018fea500f0cbbcaac4a1dbc77bbfd3e2cf2a0c4ff7d823a5115c31f45e","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_222f1676ab40f62e7c584b757820023123a4555ad3561ae6b9f870a67d547a6e","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_81c658411df7e5713bb87bd5d45a678f1a24806a7c3273bd3ea188fe78022a89","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_8ec949fe0bb3eb1a74e83fd05e280258571232ede001670aa7584ce038ec9497","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_742d2cf55f6ea89f8398dac6057fc2ca4fbdbb5a275eb7b527d298fc613f555b","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_7e561507504e9cf643f6d03f865a706fdf497ed6798c10f54b7b0fc51ae64338","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_53276c86f8489d3274561a5d60193fbaf81dbae6ec727f911c498a0ebc5b61b1","(2020, 7, 31, '2020-07-07T21:03:47.274541-0300')","(2020, 7, 31, '2020-07-07T21:03:47.274541-0300')","data_events_raw.tickititas_params_validated_v1_v1"
"jr_550d52a7258565b7fc1fffa6a271a97ec109cf3c67568e509c49369f25ee4cc2","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_6dee40a9c4cbdf9143dcd4567387ac3b5aa832ecdabd8446ecb16713a2b9afc9","None","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_01f27adc130bc9cc32f32ce6e796601278e4140d2900303b8c9b12afea9a2e06","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_fcb966644c835c4eda5db3e0091aa62e033549cf5abdb2d91d54fedb31ff132c","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_4006c18d721bd1f876381de443bb796a027f42fb163b1a0e7332a24ba3e1cc58","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_15cc4e614f2125956fa8c780b9561b58484818d2e5258b116d238b97db2bfa11","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","auto_refinancing_events_raw.contract_contract_created_v1_v1"
"jr_94b2f6d60300d27aaa7117d49e3e39d2333506d6afcb64e38375c33cc15740b9","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_fcb966644c835c4eda5db3e0091aa62e033549cf5abdb2d91d54fedb31ff132c","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_e6fca5bfa63d61e6e17fd4eb00334e12532549f815c8f41160c4487a41b96b28","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_cf7498d4b43eeb7538e52c9a21f7eafe38d0a95b7257aacf6ed11bca092d10a0","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_ee2638cd1d1a6b8fc111ece2d5d6d852cc214f20ddb9802cf21b2ff4d0b3e4c3","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_5ea30c268886eada834690c918a5c0ee766e43bebaa116d187ee590ec26cf65e","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_77e0621dc8881c8a68ccb2471e9c4c6a95fce1f4d22f0a5ab742e253dac16652","None","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_5ea30c268886eada834690c918a5c0ee766e43bebaa116d187ee590ec26cf65e","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_f3868b1c5deddbf8c53fd668654fe4eea54e4f5a558db7ad8723cd4db1fe2827","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","auto_refinancing_events_raw.contract_contract_created_v1_v1"
"jr_679a13fc8e5053a3e2761d440d4ff7e7743e26a66460757c7bf152754ec5b640","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_cab28216955c42db01b2ecdb613488e897fe0fa5df27a85cbe58bfc68141c09b","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_f3868b1c5deddbf8c53fd668654fe4eea54e4f5a558db7ad8723cd4db1fe2827","(2020, 12, 31, '2020-04-23T16:39:16.302766-0300')","(2020, 12, 31, '2020-04-23T16:39:16.302766-0300')","data_events_raw.neuron_zapitas_features_processed_v1_v1"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_6c3936913769376cb1b7b3db5e966bf7e4b4e9adb06fa8a999ede41ce0f56773","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_02cb6c36d51443749d98346c8713d356a08766946e1d45d8bb3cfadf5480d0b5","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_58ae0e4f492381a03e5c820c7863fa30c240bd81db4abaff9b5e51716fe07fb9","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_a2bdfa9bb16478abf80f22da542039736d9c9d1c41f1aba6b3762723fcec0b95","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","auto_refinancing_events_raw.contract_contract_created_v1_v1"
"jr_31c4e6bf6103ac08fc63febc0d26134279a48e2354df439b6bd378431311c9e6","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_cab28216955c42db01b2ecdb613488e897fe0fa5df27a85cbe58bfc68141c09b","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","servicing_events_raw.billing_installment_flexibilization_renegotiated_v1_v1"
"jr_fcb966644c835c4eda5db3e0091aa62e033549cf5abdb2d91d54fedb31ff132c","(2020, 8, 31, '2020-08-17 16:48:36 -0300')","(2020, 8, 31, '2020-08-17 16:48:36 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v2_v1"
"jr_5ea30c268886eada834690c918a5c0ee766e43bebaa116d187ee590ec26cf65e","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_8ec949fe0bb3eb1a74e83fd05e280258571232ede001670aa7584ce038ec9497","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_a8860997c7fd68c43a75668f8f1e6435d439badf85211b63d71a9a1dfa5316e9","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_7db33cbbbe04c9b06c1edb11f368a1b5a900ce8890015426300e4934816e4593","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_81c658411df7e5713bb87bd5d45a678f1a24806a7c3273bd3ea188fe78022a89","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_cf7498d4b43eeb7538e52c9a21f7eafe38d0a95b7257aacf6ed11bca092d10a0","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_94b2f6d60300d27aaa7117d49e3e39d2333506d6afcb64e38375c33cc15740b9","(2020, 12, 31, '2020-04-23T16:39:16.302766-0300')","(2020, 12, 31, '2020-04-23T16:39:16.302766-0300')","data_events_raw.neuron_zapitas_features_processed_v1_v1"
"jr_905fa4e384a11cac53f006bd8b8a7d2e77a7d93fb085ce7d5ac76d022b654b80","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","(2020, 8, 31, '2020-08-19T09:19:03.950797-0300')","data_events_raw.origination_probability_features_processed_v2_v1"
"jr_1734caea5aff2fa23adc2989a9370313ed3f55a6a77908b898365421933060ed","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_ee2638cd1d1a6b8fc111ece2d5d6d852cc214f20ddb9802cf21b2ff4d0b3e4c3","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_f3868b1c5deddbf8c53fd668654fe4eea54e4f5a558db7ad8723cd4db1fe2827","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_e3fd842ee2c9a05c3a471b41eafc198ee32e762886d0519b87718cdc6948b7c2","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_2ef12028890ec1444af3b81720b2425e229fef6bcb7b7242765243e76906c1e5","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_e7003e5988f32a4c7a14b9f1d073721166d372a9d11bcc52cf6643b5471a0446","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_58ae0e4f492381a03e5c820c7863fa30c240bd81db4abaff9b5e51716fe07fb9","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","(2020, 8, 31, '2020-08-17 16:10:19 -0300')","auto_refinancing_events_raw.contract_contract_created_v1_v1"
"jr_9c208cd6e70c95bbfe3bc935e9b857f6a06bbe089e439620747b28facd2c4ecf","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_305f24c1e3bfff12c1ea60f2eac03b300751b866ae57f98467bd2e6557639034","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_9c208cd6e70c95bbfe3bc935e9b857f6a06bbe089e439620747b28facd2c4ecf","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_4b7e8114b90271a312274abc73f9b8ca8e71f69d48cf43ace4e508471aa02bbb","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_742d2cf55f6ea89f8398dac6057fc2ca4fbdbb5a275eb7b527d298fc613f555b","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_224caf3f3bfb6bfdd8061810a0e970e7ef80a3765143710d18408b410e7952e3","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_222f1676ab40f62e7c584b757820023123a4555ad3561ae6b9f870a67d547a6e","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_cecc9a78f014b4c827964cd9279be728889c502471e025939f6575a6d3d8ed8f","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_7db33cbbbe04c9b06c1edb11f368a1b5a900ce8890015426300e4934816e4593","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_77e0621dc8881c8a68ccb2471e9c4c6a95fce1f4d22f0a5ab742e253dac16652","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_cf7498d4b43eeb7538e52c9a21f7eafe38d0a95b7257aacf6ed11bca092d10a0","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","(2019, 12, 11, '2019-12-11T14:35:16.883107-0200')","data_events_raw.neuron_sample_params_validated_v1_v1"
"jr_94b2f6d60300d27aaa7117d49e3e39d2333506d6afcb64e38375c33cc15740b9","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_e7003e5988f32a4c7a14b9f1d073721166d372a9d11bcc52cf6643b5471a0446","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_38454c09ffec4b36d0c9e37fad829631dea3705709f0bcf01d8f52d68d68143e","(2020, 7, 31, '2020-07-07T21:03:47.274541-0300')","(2020, 7, 31, '2020-07-07T21:03:47.274541-0300')","data_events_raw.tickititas_params_validated_v1_v1"
"jr_9c208cd6e70c95bbfe3bc935e9b857f6a06bbe089e439620747b28facd2c4ecf","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_4b7e8114b90271a312274abc73f9b8ca8e71f69d48cf43ace4e508471aa02bbb","(2020, 8, 31, '2020-08-17 16:48:36 -0300')","(2020, 8, 31, '2020-08-17 16:48:36 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v2_v1"
"jr_305f24c1e3bfff12c1ea60f2eac03b300751b866ae57f98467bd2e6557639034","(2020, 7, 31, '2020-07-07T21:03:47.274541-0300')","(2020, 7, 31, '2020-07-07T21:03:47.274541-0300')","data_events_raw.tickititas_params_validated_v1_v1"
"jr_38454c09ffec4b36d0c9e37fad829631dea3705709f0bcf01d8f52d68d68143e","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_a8578c183465db1dc7f635af4d951a4c64e748b586afbe83078f9bd0e1fa6a3d","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","servicing_events_raw.billing_installment_flexibilization_renegotiated_v1_v1"
"jr_38454c09ffec4b36d0c9e37fad829631dea3705709f0bcf01d8f52d68d68143e","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","servicing_events_raw.billing_installment_flexibilization_renegotiated_v1_v1"
"jr_fcb966644c835c4eda5db3e0091aa62e033549cf5abdb2d91d54fedb31ff132c","(2020, 12, 31, '2020-08-18T21:24:12.408791')","(2020, 12, 31, '2020-08-18T21:24:12.408791')","communication_events_raw.multi_channel_discarded_lead_reply_received_v1_v1"
"jr_f2d7f1b13c1eebe4996871d1b0c3e5eb330a7b115afa0fbaa7d8907925b5c92c","(2020, 12, 31, '2020-08-18T20:02:31.096790')","(2020, 12, 31, '2020-08-18T20:02:31.096790')","communication_events_raw.sms_answer_received_v1_v2"
"jr_53276c86f8489d3274561a5d60193fbaf81dbae6ec727f911c498a0ebc5b61b1","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","servicing_events_raw.billing_installment_flexibilization_renegotiated_v1_v1"
"jr_a2bdfa9bb16478abf80f22da542039736d9c9d1c41f1aba6b3762723fcec0b95","(2020, 7, 31, '2020-07-29T18:00:40.139130')","(2020, 7, 31, '2020-07-29T18:00:40.139130')","home_refinancing_events_raw.process_management_task_completed_v1_v1"
"jr_02cb6c36d51443749d98346c8713d356a08766946e1d45d8bb3cfadf5480d0b5","(2020, 12, 31, '2020-08-17T21:12:24.056488')","(2020, 12, 31, '2020-08-17T21:12:24.056488')","communication_events_raw.client_tracking_webphone_voice_automatically_answered_v1_v1"
"jr_cf7498d4b43eeb7538e52c9a21f7eafe38d0a95b7257aacf6ed11bca092d10a0","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","servicing_events_raw.billing_installment_flexibilization_renegotiated_v1_v1"
"jr_22c8c018fea500f0cbbcaac4a1dbc77bbfd3e2cf2a0c4ff7d823a5115c31f45e","(2020, 8, 31, '2020-08-17 16:48:36 -0300')","(2020, 8, 31, '2020-08-17 16:48:36 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v2_v1"
"jr_742d2cf55f6ea89f8398dac6057fc2ca4fbdbb5a275eb7b527d298fc613f555b","(2020, 12, 31, '2020-08-18T20:02:31.096790')","(2020, 12, 31, '2020-08-18T20:02:31.096790')","communication_events_raw.sms_answer_received_v1_v2"
"jr_1734caea5aff2fa23adc2989a9370313ed3f55a6a77908b898365421933060ed","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","(2020, 4, 23, '2020-04-23 21:59:02 -0300')","autofin_backend_events_raw.credit_analysis_performed_credit_analysis_v1_v1"
"jr_94b2f6d60300d27aaa7117d49e3e39d2333506d6afcb64e38375c33cc15740b9","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","(2020, 8, 31, '2020-08-19 15:58:00 -0300')","servicing_events_raw.billing_installment_flexibilization_renegotiated_v1_v1"
